,,,Process,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,,
132,243910,4 Wire Jacket 1xDCC Modul 7T0903S,90°B,,,,,,8.34,,,,,12,,,5.44,13.4,,,,14.08,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.34,1.49
133,243908,Twisted Wires 1xDCC Modul 7T0902N,180°,6.53,,,,,,,,,,,,,,,,,,,,,,9.38,,,,,,,,8.09,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.79,0.96
134,243909,Twisted Wires 1xDCC Modul 7T0902Q,180°,6.53,,,,,,,,,,,,,,,,,,,,,,9.38,,,,,,,,8.09,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.79,0.96
135,251144,4 Wire Jacket 1xDCC Modul 2F0903A,90°B,,,,8.39,,,,,,8.12,,,,,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.03,1.05
136,251148,6 Wire Jacket 1xDCC Modul 2F0903C,90°B,,,,,,7.67,,,,,12,,,5.44,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.63,1.19
137,251146,2 Wire Jacket 1xDCC Modul 2F0903E,180°,,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.88,0.58
138,250059,Twisted Wires 1xDCC Modul 2F0902D,180°,6.94,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.75,0.91
139,250060,Twisted Wires 1xDCC Modul 2F0902F,180°,6.94,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.75,0.91
140,250061,"Twisted Wires 1xDCC Modul 2F0902E,G",90°B,7.14,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.81,1
141,250062,Twisted Wires 1xDCC Modul 2F0902E,180°,7.02,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.83,0.91
142,250065,Twisted Wires 1xDCC Modul 2F0902G,180°,7.02,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.83,0.91
143,249935,4 Wire Jacket 1xDCC Modul 5WA903A,90°B,,,,6.7,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.94,1
144,249937,6 Wire Jacket 1xDCC Modul 5WA903E,90°B,,,,,,7.38,,,,,12,,,5.44,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.34,1.19
145,243918,"6 Wire Jacket 2xDCC Modul 5QS903_,3WA903B",2*90°B,,,,,,7.12,,,,,12,,,5.44,13.4,,,20.88,,,,,,,,,,,,20,,,,,,,,,32.58,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,2.18
146,243919,8 Wire Jacket 2xDCC Modul 3WA903F,2*90°B,,,,,,,,7.03,,,,16,,9.93,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,32.58,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6,2.08
147,243920,8 Wire Jacket 2xDCC Modul 5QS903F,2*90°B,,,,,,,,7.45,,,,16,,9.93,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,32.58,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.02,2.08
148,250030,8 Wire Jacket 2xDCC Modul 5QS903H,2*90°B,,,,,,,,7.44,,,,16,,9.93,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,32.58,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.01,2.08
149,227630,4 Wire Jacket 1xDCC Modul 5TA903M,90°B,,,,9.82,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.06,1.05
150,227631,6 Wire Jacket 1xDCC Modul 5TA903AF,90°B,,,,,,7.01,,,,,12,,,5.44,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.97,1.18
151,227627,4 Wire Jacket 1xDCC Modul 5G0903AL,90°B,,,,9.82,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.06,1.05
152,227628,6 Wire Jacket 1xDCC Modul 5G0903AM,90°B,,,,,,7.01,,,,,12,,,5.44,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.97,1.18
153,243921,Twisted Wires DCC1 Modul 3WA902P,90°B,8.88,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,1.13
154,243922,Twisted Wires DCC1 Modul 3WA902R,90°B,8.88,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,1.13
155,243923,Twisted Wires DCC1 Modul 3WA902Q,90°B,8.8,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.42,1.12
156,243924,Twisted Wires DCC1 Modul 3WA902S,90°B,8.85,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.47,1.12
157,243925,Twisted Wires DCC2 Modul 3WA902P,90°B,8.84,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,1
158,243926,Twisted Wires DCC2 Modul 3WA902R,90°B,8.85,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.11,1
159,243927,Twisted Wires DCC2 Modul 3WA902Q,90°B,8.77,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.03,1
160,243928,Twisted Wires DCC2 Modul 3WA902S,90°B,8.81,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.07,1
161,243929,Twisted Wires DCC1 Modul 5QS902S,90°B,9.3,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.92,1.13
162,243931,Twisted Wires DCC1 Modul 5QS902AA,90°B,9.26,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.88,1.13
163,243932,"Twisted Wires DCC1 Modul 5QS902AC,AE",90°B,9.62,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.24,1.14
164,243933,Twisted Wires DCC2 Modul 5QS902S,90°B,9.26,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.52,1.01
165,243935,Twisted Wires DCC2 Modul 5QS902AA,90°B,9.21,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.47,1.01
166,243936,"Twisted Wires DCC2 Modul 5QS902AC,AE",90°B,9.58,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.84,1.01
167,243939,Twisted Wires 1xDCC Modul 5WA902 AJ,90°B,9.04,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.22,1.09
168,243940,Twisted Wires 1xDCC Modul 5WA902 AK,90°B,9.1,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.72,1.13
169,243941,Twisted Wires 1xDCC Modul 5WA902 AL,90°B,9.07,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.69,1.13
170,243942,Twisted Wires 1xDCC Modul 5WA902 AQ,90°B,9.04,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.66,1.13
171,243944,Twisted Wires 1xDCC Modul 5WA902 AS,90°B,9.08,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.26,1.09
172,243945,"Twisted Wires 1xDCC Modul 5WA902 BS,CC",90°B,9.04,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.66,1.13
173,243946,"Twisted Wires 1xDCC Modul 5WA902 AR,CA,CE",90°B,9.09,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.71,1.13
174,252337,Twisted Wires 1xDCC Modul 5G0902AJ,90°B,8.75,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.93,1.08
175,252338,Twisted Wires 1xDCC Modul 5G0902AM,90°B,8.75,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.93,1.08
176,252334,"Twisted Wires 1xDCC Modul 5G0902AL,2GA902L",90°B,8.79,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.97,1.08
177,252335,"Twisted Wires 1xDCC Modul 5G0902AP,2GA902N",90°B,8.8,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.98,1.08
178,252340,"Twisted Wires 1xDCC Modul 5NA902AH,AJ,AL",90°B,8.79,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.97,1.08
179,252402,"Twisted Wires 1xDCC Modul 5G0902AN,5GD902L,5TAAC",90°B,8.79,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.97,1.08
180,0, ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
181,0, ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
182,0, ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
183,0, ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
184,0, ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
